epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5025.01,0.56048,1.75087,1.23667,0.64076,0.47783,0.65418,0.44394,0.84142,3.29201,1.52607,0.000471663,0.000471663,0.000471663
2,8145.46,0.5224,1.05599,1.17967,0.72521,0.88889,0.85462,0.76959,0.54883,1.10068,1.30264,0.000936265,0.000936265,0.000936265
3,11159,0.51775,0.93537,1.1695,0.37851,0.85905,0.65227,0.5592,0.59624,2.53589,1.33154,0.00138908,0.00138908,0.00138908
4,14275.9,0.51191,0.83661,1.16925,0.68079,0.82136,0.82397,0.74813,0.48212,1.05271,1.17757,0.00137595,0.00137595,0.00137595
5,17288.3,0.48328,0.77438,1.15035,0.79134,0.82331,0.88094,0.77888,0.51479,0.53018,1.14411,0.00135826,0.00135826,0.00135826
6,20275.7,0.46523,0.7337,1.1383,0.53975,0.5522,0.45325,0.21253,0.78256,4.52037,1.30375,0.00134058,0.00134058,0.00134058
7,23228.5,0.44586,0.72316,1.11827,0.56264,0.72171,0.74124,0.67976,0.35971,2.55593,0.923,0.0013229,0.0013229,0.0013229
8,26221.7,0.44691,0.70485,1.12416,0.58093,0.71699,0.76804,0.6737,0.57617,2.40549,1.2004,0.00130521,0.00130521,0.00130521
9,29363.4,0.43033,0.68882,1.11091,0.66297,0.64166,0.73722,0.71078,0.31627,3.2195,0.89249,0.00128753,0.00128753,0.00128753
10,32402,0.42624,0.67711,1.10987,0.61246,0.39649,0.66126,0.60449,0.37735,3.18392,0.96018,0.00126985,0.00126985,0.00126985
11,35394.8,0.41909,0.67337,1.10443,0.65832,0.59706,0.72866,0.65977,0.43614,3.27187,1.03754,0.00125216,0.00125216,0.00125216
12,38336.5,0.42012,0.65244,1.10293,0.6631,0.6119,0.65205,0.61955,0.33335,3.66892,0.89198,0.00123448,0.00123448,0.00123448
13,41281.2,0.41356,0.66026,1.10064,0.64325,0.78738,0.75484,0.70673,0.39844,1.46761,0.97088,0.00121679,0.00121679,0.00121679
14,5116.45,0.3932,0.65727,1.08361,0.61944,0.69242,0.64426,0.59611,0.38475,3.00092,0.96679,0.00119911,0.00119911,0.00119911
15,8120.66,0.38637,0.63189,1.07966,0.58493,0.67135,0.54585,0.49326,0.41309,4.03758,1.01279,0.00118143,0.00118143,0.00118143
16,11099.3,0.39207,0.63427,1.08203,0.596,0.85816,0.71028,0.67612,0.3475,1.94243,0.9116,0.00116374,0.00116374,0.00116374
17,14087.3,0.38803,0.60602,1.08002,0.65599,0.61766,0.53786,0.50243,0.32953,4.97198,0.90381,0.00114606,0.00114606,0.00114606
18,17039.1,0.37722,0.6018,1.07713,0.56525,0.74566,0.74604,0.70732,0.31094,2.79643,0.87279,0.00112837,0.00112837,0.00112837
19,19996.7,0.37578,0.59143,1.07459,0.66361,0.63659,0.64367,0.60402,0.33562,3.94467,0.89397,0.00111069,0.00111069,0.00111069
20,22961.4,0.37352,0.59805,1.06834,0.61231,0.63087,0.69953,0.6622,0.31077,3.78664,0.86081,0.00109301,0.00109301,0.00109301
21,25911.1,0.37272,0.59028,1.07068,0.6402,0.67567,0.82036,0.78086,0.36101,2.71983,0.92142,0.00107532,0.00107532,0.00107532
22,28890.2,0.36568,0.58716,1.0658,0.62395,0.65582,0.7092,0.67627,0.30536,3.88042,0.85565,0.00105764,0.00105764,0.00105764
23,31866.3,0.3631,0.58866,1.06836,0.61935,0.72678,0.72194,0.69248,0.29292,2.21235,0.82746,0.00103995,0.00103995,0.00103995
